0MEFAC03084812011053100120110430001201105319780022777                                                 
1201105310511103650022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
3A 1   Bancos                                                                                         
4A 1 1 201105311                        CPU em real time      000100000000000000000000010000000100000D
6A 1   0000000100000D                                                                                 
7A     0000000000100000D                                                                              
2E     Utilizaá∆o de Cart‰es                                                                          
3E 1   Direitos de Utilizaá∆o                                                                         
4G 3 1 20110519MDST520110519001         De 1 a 200000         000000000847000000000024380000000002065D
4G 3 1 20110520MDST520110520001         De 1 a 200000         000000000847000000000027920000000002365D
4G 3 1 20110521MDST520110521001         De 1 a 200000         000000000847000000000043170000000003656D
4G 3 1 20110522MDST520110522001         De 1 a 200000         000000000847000000000037360000000003164D
4G 3 1 20110523MDST520110523001         De 1 a 200000         000000000847000000000025640000000002172D
4G 3 1 20110524MDST520110524001         De 1 a 200000         000000000847000000000025350000000002147D
4G 3 1 20110525MDST520110525001         De 1 a 200000         000000000847000000000024650000000002088D
4G 3 1 20110526MDST520110526001         De 1 a 200000         000000000847000000000025940000000002197D
4G 3 1 20110527MDST520110527001         De 1 a 200000         000000000847000000000025920000000002195D
4G 3 1 20110528MDST520110528001         De 1 a 200000         000000000847000000000038600000000003269D
4G 3 1 20110529MDST520110529001         De 1 a 200000         000000000847000000000036420000000003085D
4G 3 1 20110530MDST520110530001         De 1 a 200000         000000000847000000000022850000000001935D
4G 3 1 20110531MDST520110531001         De 1 a 200000         000000000847000000000024300000000002058D
6G 3   0000000079002D                                                                                 
3G 4   Compras TPA                                                                                    
4G 4 1 20110501MMOV520110501001         De 1 a 200000         000000000847000000000063720000000005397D
4G 4 1 20110502MMOV520110502001         De 1 a 200000         000000000847000000000023860000000002021D
4G 4 1 20110503MMOV520110503001         De 1 a 200000         000000000847000000000021030000000001781D
4G 4 1 20110504MMOV520110504001         De 1 a 200000         000000000847000000000023340000000001977D
4G 4 1 20110505MMOV520110505001         De 1 a 200000         000000000847000000000024400000000002067D
4G 4 1 20110506MMOV520110506001         De 1 a 200000         000000000847000000000025460000000002156D
4G 4 1 20110507MMOV520110507001         De 1 a 200000         000000000847000000000040440000000003425D
4G 4 1 20110508MMOV520110508001         De 1 a 200000         000000000847000000000036160000000003063D
4G 4 1 20110509MMOV520110509001         De 1 a 200000         000000000847000000000022820000000001933D
4G 4 1 20110510MMOV520110510001         De 1 a 200000         000000000847000000000022160000000001877D
4G 4 1 20110511MMOV520110511001         De 1 a 200000         000000000847000000000021980000000001862D
4G 4 1 20110512MMOV520110512001         De 1 a 200000         000000000847000000000020610000000001746D
4G 4 1 20110513MMOV520110513001         De 1 a 200000         000000000847000000000023120000000001958D
4G 4 1 20110514MMOV520110514001         De 1 a 200000         000000000847000000000035120000000002975D
4G 4 1 20110515MMOV520110515001         De 1 a 200000         000000000847000000000031960000000002707D
4G 4 1 20110516MMOV520110516001         De 1 a 200000         000000000847000000000020790000000001761D
4G 4 1 20110517MMOV520110517001         De 1 a 200000         000000000847000000000022920000000001941D
4G 4 1 20110518MMOV520110518001         De 1 a 200000         000000000847000000000024150000000002046D
4G 4 1 20110519MMOV520110519001         De 1 a 200000         000000000847000000000022000000000001863D
4G 4 1 20110520MMOV520110520001         De 1 a 200000         000000000847000000000025620000000002170D
4G 4 1 20110521MMOV520110521001         De 1 a 200000         000000000847000000000040050000000003392D
4G 4 1 20110522MMOV520110522001         De 1 a 200000         000000000847000000000034630000000002933D
4G 4 1 20110523MMOV520110523001         De 1 a 200000         000000000847000000000023160000000001962D
4G 4 1 20110524MMOV520110524001         De 1 a 200000         000000000847000000000022900000000001940D
4G 4 1 20110525MMOV520110525001         De 1 a 200000         000000000847000000000022550000000001910D
4G 4 1 20110526MMOV520110526001         De 1 a 200000         000000000847000000000023590000000001998D
