VDR       	 N. UNICRE        	  CADEIA    	 NOME                                    	                                                  
2285914	818003	9113424	 CONTINENTE CASCAIS                      	                                                  
2285922	818004	9113424	 CONTINENTE GAIA SHOPPING                	                                                  
2285930	818005	9113424	 CONTINENTE LEIRIA                       	                                                  
2285948	818006	9113424	 CONTINENTE COIMBRA SHOPPING             	                                                  
2285955	818007	9113424	 CONTINENTE SEIXAL                       	                                                  
2285963	818008	9113424	 CONTINENTE GUIMARAES                    	                                                  
2285971	818009	9113424	 CONTINENTE COLOMBO                      	                                                  
2285989	818010	9113424	 CONTINENTE MAIA                         	                                                  
2285997	818011	9113424	 CONTINENTE LOURES SHOPPING              	                                                  
2286003	818012	9113424	 CONTINENTE VASCO GAMA                   	                                                  
2286011	818014	9113424	 CONTINENTE ANTAS                        	                                                  
2286029	828016	9113424	 CONTINENTE OVAR                         	                                                  
2286037	818203	9113424	 CONTINENTE VISEU                        	                                                  
2286045	818204	9113424	 CONTINENTE VILA REAL                    	                                                  
2286052	818209	9113424	 CONTINENTE VIANA                        	                                                  
2286060	828212	9113424	 CONTINENTE COVILHA                      	                                                  
2286078	818460	9113424	 CONTINENTE GAIA                         	                                                  
2286086	828001	9113424	 CONTINENTE MATOSINHOS                   	                                                  
2286094	828003	9113424	 CONTINENTE CASCAIS                      	                                                  
2286102	828004	9113424	 CONTINENTE GAIA SHOPPING                	                                                  
2286110	828006	9113424	 CONTINENTE COIMBRA SHOPPING             	                                                  
2286128	828007	9113424	 CONTINENTE SEIXAL                       	                                                  
2286136	828009	9113424	 CONTINENTE COLOMBO                      	                                                  
2286144	828011	9113424	 CONTINENTE LOURES SHOPPING              	                                                  
2286151	828203	9113424	 CONTINENTE VISEU                        	                                                  
2286169	0	9113432	 CONTINENTE ON LINE MATOSINHOS           	                                                  
2286177	0	9113432	 CONTINENTE ON LINE AMADORA              	                                                  
2286185	0	9113432	 CONTINENTE ON LINE CASCAIS              	                                                  
2286193	0	9113432	 CONTINENTE ON LINE GAIA                 	                                                  
2286201	0	9113432	 CONTINENTE ON LINE COIMBRA              	                                                  
2286219	0	9113432	 CONTINENTE ON LINE SEIXAL               	                                                  
2286227	0	9113432	 CONTINENTE ON LINE LOJ GUIMAR           	                                                  
2286235	0	9113432	 CONTINENTE ON LINE COLOMBO              	                                                  
2286243	0	9113432	 CONTINENTE ON LINE LOURES               	                                                  
2286250	0	9113432	 CONTINENTE ON LINE GUIA                 	                                                  
2286268	0	9113432	 CONTINENTE ON LINE LOJA ANTAS           	                                                  
2286276	0	9113432	 CONTINENTE ON LINE OVAR                 	                                                  
2286284	0	9113432	 CONTINENTE ON LINE VINHOS               	                                                  
